n_paths,nmse_linear,nmse_db,rsrp_ssb_err_db
1,0.392247,-4.0644,2.5859
2,0.262558,-5.8078,1.7138
3,0.182574,-7.3856,1.2184
4,0.126492,-8.9794,0.9381
5,0.0877798,-10.5661,0.7278
6,0.0594266,-12.2602,0.5574
7,0.0392713,-14.0592,0.4236
8,0.0243695,-16.1315,0.3038
9,0.0139788,-18.5453,0.2037
10,0.00701408,-21.5403,0.1118
11,0.00325622,-24.8729,0.0585
12,0.00103733,-29.8408,0.0189
13,0.000322299,-34.9174,0.0071
14,6.03377e-05,-42.1941,0.0007
15,8.4409e-06,-50.7361,0.0001
16,2.55392e-32,-315.9280,0.0000
