n_dominant,mean_nmse2,mean_nmse2_db,max_nmse2_db,mean_nmse3_db,max_nmse3_db,rsrp_wide_err2_db,rsrp_wide_err3_db,rsrp_band_err2_db,rsrp_band_err3_db
1,0.392281,-4.06403,-0.796274,-inf,-inf,2.47306,0,2.57684,0
2,0.262642,-5.80636,-1.69169,-inf,-inf,1.50062,0,1.70328,0
3,0.182665,-7.38345,-2.70751,-inf,-inf,0.975705,0,1.2209,0
4,0.126552,-8.97732,-3.89779,-inf,-inf,0.667612,0,0.936298,0
5,0.0878299,-10.5636,-5.12539,-inf,-inf,0.45868,0,0.72388,0
6,0.0594625,-12.2576,-6.84681,-inf,-inf,0.30405,0,0.554564,0
7,0.0393078,-14.0552,-8.14834,-inf,-inf,0.202516,0,0.425052,0
8,0.0243953,-16.1269,-9.65149,-inf,-inf,0.136772,0,0.307157,0
9,0.0139944,-18.5405,-11.4158,-inf,-inf,0.0837398,0,0.205536,0
10,0.00702234,-21.5352,-13.995,-inf,-inf,0.0437055,0,0.112074,0
11,0.00325888,-24.8693,-15.7459,-inf,-inf,0.017617,0,0.0591701,0
12,0.00103849,-29.836,-18.2764,-inf,-inf,0.0058215,0,0.0192902,0
13,0.000322293,-34.9175,-20.7879,-inf,-inf,0.0017251,0,0.00720059,0
14,6.04277e-05,-42.1876,-24.0488,-inf,-inf,0.000272937,0,0.000652325,0
15,8.4615e-06,-50.7255,-30.7255,-inf,-inf,3.87588e-05,0,0.000127051,0
16,2.55464e-32,-315.927,-314.063,-inf,-inf,4.47395e-16,0,4.56266e-16,0
