n_dominant,mean_nmse2,mean_nmse2_db,max_nmse2_db,mean_nmse3_db,max_nmse3_db,rsrp_wide_err2_db,rsrp_wide_err3_db,rsrp_band_err2_db,rsrp_band_err3_db
1,0.461983,-3.35374,0.733099,-3.39328,2.4053,0.578792,0.149543,1.45558,0.820461
2,0.292854,-5.33348,-0.626145,-3.39328,2.4053,0.356637,0.149543,1.11772,0.820461
3,0.196657,-7.0629,-1.95202,-3.39328,2.4053,0.278909,0.149543,0.923239,0.820461
4,0.133137,-8.75703,-3.36027,-3.39328,2.4053,0.236562,0.149543,0.793207,0.820461
5,0.0910433,-10.4075,-4.7393,-3.39328,2.4053,0.186624,0.149543,0.649156,0.820461
6,0.0609565,-12.1498,-6.59641,-3.39328,2.4053,0.138496,0.149543,0.509935,0.820461
7,0.0399534,-13.9845,-7.98031,-3.39328,2.4053,0.10101,0.149543,0.398323,0.820461
8,0.0246617,-16.0798,-9.53763,-3.39328,2.4053,0.0798684,0.149543,0.286327,0.820461
9,0.0141037,-18.5067,-11.3358,-3.39328,2.4053,0.0543204,0.149543,0.195772,0.820461
10,0.00705927,-21.5124,-13.9291,-3.39328,2.4053,0.0309411,0.149543,0.108209,0.820461
11,0.00326489,-24.8613,-15.714,-3.39328,2.4053,0.00900744,0.149543,0.0566845,0.820461
12,0.00103883,-29.8345,-18.2577,-3.39328,2.4053,0.00300457,0.149543,0.0185048,0.820461
13,0.000322867,-34.9098,-20.7817,-3.39328,2.4053,0.000883859,0.149543,0.00686924,0.820461
14,6.04166e-05,-42.1884,-24.0519,-3.39328,2.4053,8.46947e-05,0.149543,0.000622294,0.820461
15,8.44415e-06,-50.7344,-30.7344,-3.39328,2.4053,1.5097e-05,0.149543,0.000118194,0.820461
16,4.36021e-32,-313.605,-309.112,-3.39328,2.4053,8.33296e-16,0.149543,8.56462e-16,0.820461
