n_dominant,mean_nmse2,mean_nmse2_db,max_nmse2_db,mean_nmse3_db,max_nmse3_db,rsrp_wide_err2_db,rsrp_wide_err3_db,rsrp_band_err2_db,rsrp_band_err3_db
1,0.681006,-1.66849,-1.51188,-inf,-inf,5.23287,0,4.8043,0
2,0.487642,-3.11899,-2.78518,-inf,-inf,3.1898,0,4.1084,0
3,0.351625,-4.5392,-4.05519,-inf,-inf,2.09124,0,2.89982,0
4,0.256418,-5.91051,-5.39245,-inf,-inf,1.44364,0,2.22318,0
5,0.187002,-7.28154,-6.79347,-inf,-inf,1.01998,0,1.71139,0
6,0.135389,-8.68417,-8.12618,-inf,-inf,0.726415,0,1.32026,0
7,0.0968033,-10.1411,-9.52487,-inf,-inf,0.512173,0,1.01374,0
8,0.0677484,-11.691,-11.0064,-inf,-inf,0.356941,0,0.764374,0
9,0.0462022,-13.3534,-12.5921,-inf,-inf,0.245549,0,0.564995,0
10,0.0302007,-15.1998,-14.3542,-inf,-inf,0.163128,0,0.40062,0
11,0.0187284,-17.275,-16.301,-inf,-inf,0.102344,0,0.274405,0
12,0.0107408,-19.6896,-18.5596,-inf,-inf,0.0606354,0,0.174542,0
13,0.00544063,-22.6435,-21.3216,-inf,-inf,0.0318634,0,0.102673,0
14,0.0022378,-26.5018,-24.6514,-inf,-inf,0.0137923,0,0.0487998,0
15,0.000587754,-32.308,-29.4955,-inf,-inf,0.00383837,0,0.0154138,0
16,2.23676e-32,-316.504,-316.182,-inf,-inf,3.9739e-16,0,4.11271e-16,0
