n_dominant,mean_nmse2,mean_nmse2_db,max_nmse2_db,mean_nmse3_db,max_nmse3_db
1,0.614115,-2.1175,-1.86509,0.550217,2.07779
2,0.387218,-4.12044,-3.76302,0.550217,2.07779
3,0.236837,-6.2555,-5.79417,0.550217,2.07779
4,0.143386,-8.43494,-7.73925,0.550217,2.07779
5,0.0834553,-10.7855,-9.81214,0.550217,2.07779
6,0.0454143,-13.4281,-12.2266,0.550217,2.07779
7,0.0221055,-16.555,-15.1559,0.550217,2.07779
8,0.00885462,-20.5283,-19.0521,0.550217,2.07779
9,0.00232137,-26.3426,-24.3421,0.550217,2.07779
10,1.43897e-32,-318.419,-317.899,0.550217,2.07779
