symbol,t_ms,nmse2_db,nmse3_db,max_nmse2_db,max_nmse3_db,rsrp_wide_err2_db,rsrp_wide_err3_db,rsrp_band_err2_db,rsrp_band_err3_db,rsrp_wide_max2_db,rsrp_wide_max3_db,rsrp_band_max2_db,rsrp_band_max3_db
0,0,-7.38345,-inf,-2.70751,-inf,0.975705,0,1.2209,0,5.16289,0,15.8547,0
1,0.0356771,-7.38363,-25.485,-2.70755,-19.7241,0.975658,0.0110491,1.2209,0.0639151,5.21113,0.232451,16.0623,0.628887
2,0.0713542,-7.38381,-19.4774,-2.70764,-13.7156,0.975602,0.0220886,1.22097,0.127559,5.24576,0.441198,16.2585,1.25485
4,0.142708,-7.38415,-13.5085,-2.70796,-7.74346,0.975476,0.0440956,1.221,0.253464,5.27353,0.848557,16.618,2.45632
7,0.24974,-7.38463,-8.78985,-2.70878,-3.01665,0.975222,0.0767189,1.22072,0.436734,5.21318,1.55214,17.0799,4.30641
10,0.356771,-7.38507,-5.91112,-2.70993,-0.12712,0.974921,0.108581,1.22023,0.61024,5.04096,2.27673,17.4535,6.13512
14,0.499479,-7.3856,-3.40058,-2.71181,2.39796,0.974436,0.149398,1.21845,0.81975,5.16927,3.21173,17.8139,7.95954
28,0.998958,-7.38768,0.143184,-2.71775,5.82511,0.973093,0.271067,1.22293,1.31886,5.10946,5.609,17.609,10.1812
56,1.99792,-7.39473,-0.511496,-2.71161,4.97709,0.973647,0.411597,1.21162,1.55178,5.58294,5.33248,14.2884,13.3385
140,4.99479,-7.39824,0.146354,-2.72917,5.16928,0.971936,0.686551,1.22341,1.95383,5.09485,7.6712,13.9263,14.0856
280,9.98958,-7.36359,0.770661,-2.75535,5.03768,0.978466,0.810849,1.23947,2.0438,4.96926,7.29926,16.9393,15.4963
