symbol,t_ms,nmse2_db,nmse3_db,max_nmse2_db,max_nmse3_db,rsrp_wide_err2_db,rsrp_wide_err3_db,rsrp_band_err2_db,rsrp_band_err3_db,rsrp_wide_max2_db,rsrp_wide_max3_db,rsrp_band_max2_db,rsrp_band_max3_db
0,0,-7.06076,-inf,-1.94704,-inf,0.279869,0,0.923868,0,3.25089,0,14.6306,0
1,0.0356771,-7.06086,-31.5023,-1.94701,-25.7416,0.279849,0.00552468,0.923976,0.0319835,3.26187,0.118851,14.7358,0.313685
2,0.0713542,-7.06096,-25.485,-1.94699,-19.7241,0.279826,0.0110491,0.924212,0.0639151,3.26431,0.232451,14.8382,0.628887
4,0.142708,-7.06115,-19.4774,-1.94702,-13.7156,0.27977,0.0220886,0.924618,0.127559,3.24282,0.441198,15.0343,1.25485
7,0.24974,-7.06143,-14.6522,-1.94719,-8.88813,0.279603,0.0386076,0.925108,0.222206,3.18403,0.736031,15.308,2.15856
10,0.356771,-7.06168,-11.6091,-1.94752,-5.84171,0.279478,0.0550336,0.925687,0.315421,3.17776,1.07821,15.5579,3.09058
14,0.499479,-7.062,-8.78985,-1.94819,-3.01665,0.279327,0.0767189,0.926048,0.436734,3.16897,1.55214,15.8558,4.30641
28,0.998958,-7.06289,-3.40058,-1.95201,2.39796,0.278909,0.149398,0.923246,0.81975,3.4824,3.21173,16.5897,7.95954
56,1.99792,-7.06486,0.143184,-1.95943,5.82511,0.277926,0.271067,0.918292,1.31886,3.42259,5.609,16.3849,10.1812
140,4.99479,-7.07451,-0.355735,-1.94875,5.4398,0.274579,0.460505,0.906925,1.64116,3.3146,5.56114,15.1075,14.7123
280,9.98958,-7.07876,0.146354,-1.97595,5.16928,0.270846,0.686551,0.91396,1.95383,3.59293,7.6712,12.9081,14.0856
